Process: svchost.exe, Start Time: 2025-05-11 14:40:26
Process: svchost.exe, Start Time: 2025-05-11 14:40:25
Process: StartMenuExperienceHost.exe, Start Time: 2025-05-11 14:40:25
Process: python.exe, Start Time: 2025-05-11 14:42:36
Process: SearchApp.exe, Start Time: 2025-05-11 14:40:25
Process: svchost.exe, Start Time: 2025-05-11 14:40:25
Process: RuntimeBroker.exe, Start Time: 2025-05-11 14:40:25
Process: RadeonSoftware.exe, Start Time: 2025-05-11 14:40:29
Process: ApplicationFrameHost.exe, Start Time: 2025-05-11 14:41:40
Process: Code.exe, Start Time: 2025-05-11 14:42:10
Process: taskhostw.exe, Start Time: 2025-05-11 14:40:25
Process: RuntimeBroker.exe, Start Time: 2025-05-11 14:40:26
Process: python.exe, Start Time: 2025-05-11 15:02:48
Process: RtkAudUService64.exe, Start Time: 2025-05-11 14:40:26
Process: ctfmon.exe, Start Time: 2025-05-11 14:40:26
Process: Code.exe, Start Time: 2025-05-11 14:42:11
Process: python.exe, Start Time: 2025-05-11 15:02:46
Process: python.exe, Start Time: 2025-05-11 14:42:36
Process: RuntimeBroker.exe, Start Time: 2025-05-11 14:40:27
Process: Code.exe, Start Time: 2025-05-11 14:42:17
Process: Code.exe, Start Time: 2025-05-11 14:42:13
Process: PhoneExperienceHost.exe, Start Time: 2025-05-11 14:40:28
Process: PowerToys.ColorPickerUI.exe, Start Time: 2025-05-11 14:40:28
Process: PowerToys.AdvancedPaste.exe, Start Time: 2025-05-11 14:40:28
Process: SecurityHealthSystray.exe, Start Time: 2025-05-11 14:40:27
Process: SecurityHealthService.exe, Start Time: 2025-05-11 14:40:27
Process: PowerToys.Peek.UI.exe, Start Time: 2025-05-11 14:40:28
Process: svchost.exe, Start Time: 2025-05-11 14:40:28
Process: PowerToys.PowerLauncher.exe, Start Time: 2025-05-11 14:40:28
Process: RtkAudUService64.exe, Start Time: 2025-05-11 14:40:27
Process: python.exe, Start Time: 2025-05-11 15:02:46
Process: PowerToys.exe, Start Time: 2025-05-11 14:40:27
Process: PowerToys.PowerOCR.exe, Start Time: 2025-05-11 14:40:28
Process: figma_agent.exe, Start Time: 2025-05-11 14:40:28
Process: svchost.exe, Start Time: 2025-05-11 14:40:29
Process: ps64ldr.exe, Start Time: 2025-05-11 14:40:33
Process: svchost.exe, Start Time: 2025-05-11 14:41:45
Process: UserOOBEBroker.exe, Start Time: 2025-05-11 14:41:20
Process: hamachi-2-ui.exe, Start Time: 2025-05-11 14:40:30
Process: NisSrv.exe, Start Time: 2025-05-11 14:40:31
Process: powershell.exe, Start Time: 2025-05-11 15:00:26
Process: ruff.exe, Start Time: 2025-05-11 14:42:36
Process: CompPkgSrv.exe, Start Time: 2025-05-11 14:40:31
Process: cncmd.exe, Start Time: 2025-05-11 14:40:31
